ACO_Num_2015,ageinmonths,savelossamt,savelosspct,mammoqualscore,numassignbenef,edvisits,totalvisits,pcpvisits,nursevisits,numpcps,numspecialists,saveflag,mammohilo,numnppacns,nptomdvisrat,ruralflag,totalvisq
A00755,57,"-25,602,350.00",-0.1575,46.44,8597,1144,17503,9161,2451,265,565,0,0,89,0.267547211,0,3
A00843,51,"-16,945,132.00",-0.0666,72.39,29855,703,8370,2891,1771,262,854,0,1,167,0.612590799,1,0
A00934,51,"13,118,302.00",0.1188,81.85,12241,948,7732,3181,304,291,1796,1,1,42,0.095567432,0,0
A01307,39,"3,043,078.00",0.0445,64.71,5039,762,12530,4058,745,8,25,1,1,5,0.183587974,0,3
A01334,51,"-15,246,772.00",-0.0887,60.48,18847,616,10721,3844,845,152,263,0,1,76,0.219823101,0,2
A01645,51,"-1,004,747.00",-0.0074,60.72,13068,736,8757,4434,1331,267,374,0,1,79,0.300180424,0,0
A01714,57,"-18,366,717.00",-0.0626,81.71,31447,875,8037,3328,1940,408,1249,0,1,423,0.582932692,1,0
A02094,39,"172,352.00",0.0009,58.92,19770,961,10486,2405,923,272,373,1,1,198,0.383783784,0,2
A02128,39,"4,226,652.00",0.0589,84.68,6456,628,9791,5025,463,23,24,1,1,2,0.092139303,0,1
A02219,27,"-4,102,500.00",-0.0345,61.42,10535,897,9877,2815,794,76,53,0,1,31,0.282060391,1,2
A02472,51,"5,435,247.00",0.0657,55.21,7362,753,9621,5325,1012,49,7,1,1,19,0.190046948,0,1
A02541,51,"15,553,674.00",0.0397,70.33,46120,487,9953,4174,1055,207,70,1,1,86,0.252755151,0,2
A02854,39,"-22,856,480.00",-0.1604,46.22,7288,1364,13893,8306,960,57,7,0,0,34,0.115579099,1,3
A02865,39,"1,649,791.00",0.017,92.94,9925,1051,9123,3477,2075,166,555,1,1,154,0.596778832,0,1
A03202,39,"-1,327,131.00",-0.0221,27.7,8253,712,8359,3188,980,97,218,0,0,67,0.30740276,0,0
A03682,57,"15,795,941.00",0.1301,43.83,6361,1025,11231,5542,1034,46,7,1,0,15,0.186575244,0,3
A03716,27,"5,805,197.00",0.0583,58.28,8022,1026,11362,5207,2531,39,40,1,1,29,0.486076436,0,3
A04423,60,"-10,081,185.00",-0.0484,47.44,25569,659,9115,3407,1821,310,857,0,0,251,0.534487819,0,1
A04598,57,"-2,119,753.00",-0.0631,58.31,3420,754,10444,4080,870,47,46,0,1,12,0.213235294,0,2
A05247,57,"924,519.00",0.0071,49.43,14490,954,7989,304,343,199,148,1,0,104,1.128289474,0,0
A05273,60,"10,122,154.00",0.0464,60.87,20014,562,9535,3847,543,107,57,1,1,10,0.141148947,0,1
